code,start,end,break,work_hours,service_work_start,service_work_end,service_work_hours
a,08:30,12:30,00:00,4.0,09:00,12:00,3.0
b,08:30,09:00,00:00,0.5,09:00,09:00,0.0
c,09:00,12:30,00:00,3.5,09:00,12:00,3.0
d,09:45,12:30,00:00,2.75,09:45,12:00,2.25
e,11:15,13:30,00:00,2.25,11:15,12:00,0.75
f,13:30,17:30,00:00,4.0,13:30,16:30,3.0
g,16:30,17:30,00:00,1.0,16:30,16:30,0.0
h,13:30,16:45,00:00,3.25,13:30,16:30,3.0
i,12:30,14:45,00:00,2.25,13:30,14:45,1.25
j,,,00:00,0,00:00,00:00,0.0
k,,,00:00,0,00:00,00:00,0.0
有,08:30,12:30,00:00,4.0,09:00,12:00,3.0
有,13:30,17:30,00:00,4.0,13:30,16:30,3.0
n,,,00:00,0,00:00,00:00,0.0
o,,,00:00,0,00:00,00:00,0.0
p,,,00:00,0,00:00,00:00,0.0
q,,,00:00,0,00:00,00:00,0.0
r,,,00:00,0,00:00,00:00,0.0
s,,,00:00,0,00:00,00:00,0.0
有休,,,00:00,0,00:00,00:00,0.0
u,,,,1,,,0
v,,,,2,,,0
w,,,,3,,,0
x,,,,4,,,0
y,,,,4,,,0
z,,,,5,,,0
